	intron	exon
seq2229	0.38	0.48
seq2230	0.39	0.49
seq2231	0.28	0.38
seq2232	0.34	0.43
seq2233	0.33	0.44
seq2234	0.4	0.5
seq2235	0.39	0.5
seq2236	0.43	0.53
seq2237	0.34	0.45
seq2238	0.3	0.41
seq2239	0.39	0.49
seq2240	0.46	0.57
seq2241	0.32	0.42
seq2242	0.33	0.42
seq2243	0.38	0.48
seq2244	0.23	0.33
seq2245	0.31	0.41
seq2246	0.32	0.42
seq2247	0.32	0.42
seq2248	0.32	0.43
seq2249	0.36	0.46
seq2250	0.38	0.48
seq2251	0.58	0.69
seq2252	0.42	0.52
seq2253	0.39	0.5
seq2254	0.41	0.52
seq2255	0.37	0.46
seq2256	0.3	0.4
seq2257	0.29	0.4
seq2258	0.3	0.39
seq2259	0.43	0.52
seq2260	0.41	0.52
seq2261	0.4	0.5
seq2262	0.28	0.38
seq2263	0.35	0.45
seq2264	0.38	0.49
seq2265	0.35	0.45
seq2266	0.33	0.42
seq2267	0.38	0.49
seq2268	0.41	0.5
seq2269	0.31	0.41
seq2270	0.39	0.5
seq2271	0.34	0.45
seq2272	0.34	0.43
seq2273	0.5	0.59
seq2274	0.43	0.53
seq2275	0.26	0.36
seq2276	0.42	0.52
seq2277	0.43	0.53
seq2278	0.39	0.48
seq2279	0.31	0.42
seq2280	0.37	0.47
seq2281	0.36	0.46
seq2282	0.39	0.5
seq2283	0.42	0.52
seq2284	0.49	0.58
seq2285	0.44	0.53
seq2286	0.4	0.51
seq2287	0.44	0.54
seq2288	0.42	0.52
seq2289	0.42	0.53
seq2290	0.42	0.53
seq2291	0.39	0.5
seq2292	0.64	0.73
seq2293	0.45	0.56
seq2294	0.36	0.47
seq2295	0.46	0.57
seq2296	0.38	0.47
seq2297	0.41	0.5
seq2298	0.42	0.52
seq2299	0.42	0.52
seq2300	0.43	0.53
seq2301	0.43	0.52
seq2302	0.32	0.42
seq2303	0.42	0.53
seq2304	0.45	0.55
seq2305	0.42	0.52
seq2306	0.47	0.57
seq2307	0.47	0.57
seq2308	0.37	0.47
seq2309	0.41	0.51
seq2310	0.38	0.49
seq2311	0.33	0.43
seq2312	0.33	0.44
seq2313	0.34	0.44
seq2314	0.39	0.49
seq2315	0.2	0.3
seq2316	0.45	0.55
seq2317	0.34	0.45
seq2318	0.39	0.49
seq2319	0.32	0.42
seq2320	0.36	0.45
seq2321	0.41	0.52
seq2322	0.24	0.33
seq2323	0.39	0.48
seq2324	0.39	0.49
seq2325	0.49	0.59
seq2326	0.43	0.53
seq2327	0.39	0.48
seq2328	0.44	0.55
seq2329	0.35	0.46
seq2330	0.34	0.44
seq2331	0.24	0.33
seq2332	0.37	0.47
seq2333	0.35	0.45
seq2334	0.42	0.52
seq2335	0.35	0.45
seq2336	0.24	0.35
seq2337	0.42	0.53
seq2338	0.28	0.38
seq2339	0.43	0.54
seq2340	0.43	0.52
seq2341	0.4	0.5
seq2342	0.43	0.54
seq2343	0.52	0.63
seq2344	0.42	0.52
seq2345	0.4	0.51
seq2346	0.33	0.42
seq2347	0.45	0.55
seq2348	0.36	0.46
seq2349	0.38	0.47
seq2350	0.38	0.48
seq2351	0.45	0.56
seq2352	0.4	0.5
seq2353	0.37	0.48
seq2354	0.39	0.49
seq2355	0.31	0.4
seq2356	0.39	0.48
seq2357	0.34	0.43
seq2358	0.3	0.4
seq2359	0.46	0.56
seq2360	0.4	0.5
seq2361	0.37	0.47
seq2362	0.38	0.48
seq2363	0.31	0.41
seq2364	0.35	0.44
seq2365	0.27	0.37
seq2366	0.33	0.44
seq2367	0.35	0.46
seq2368	0.39	0.48
seq2369	0.32	0.41
seq2370	0.33	0.44
seq2371	0.25	0.35
seq2372	0.33	0.43
seq2373	0.25	0.34
seq2374	0.39	0.48
seq2375	0.39	0.49
seq2376	0.42	0.52
seq2377	0.4	0.49
seq2378	0.39	0.48
seq2379	0.27	0.37
seq2380	0.4	0.5
seq2381	0.51	0.61
seq2382	0.36	0.46
seq2383	0.41	0.51
seq2384	0.29	0.39
seq2385	0.48	0.59
seq2386	0.29	0.39
seq2387	0.33	0.42
seq2388	0.35	0.45
seq2389	0.45	0.54
seq2390	0.33	0.43
seq2391	0.38	0.48
seq2392	0.43	0.52
seq2393	0.44	0.55
seq2394	0.39	0.49
seq2395	0.43	0.53
seq2396	0.45	0.55
seq2397	0.43	0.53
seq2398	0.38	0.49
seq2399	0.37	0.47
seq2400	0.43	0.53
seq2401	0.43	0.53
seq2402	0.3	0.41
seq2403	0.34	0.43
seq2404	0.4	0.51
seq2405	0.46	0.56
seq2406	0.27	0.37
seq2407	0.5	0.6
seq2408	0.41	0.5
seq2409	0.45	0.54
seq2410	0.35	0.46
seq2411	0.42	0.52
seq2412	0.44	0.54
seq2413	0.42	0.53
seq2414	0.37	0.47
seq2415	0.38	0.48
seq2416	0.35	0.46
seq2417	0.2	0.3
seq2418	0.53	0.63
seq2419	0.31	0.41
seq2420	0.36	0.45
seq2421	0.39	0.48
seq2422	0.27	0.38
seq2423	0.36	0.46
seq2424	0.31	0.41
seq2425	0.34	0.43
seq2426	0.36	0.46
seq2427	0.28	0.38
seq2428	0.37	0.47
seq2429	0.33	0.42
seq2430	0.32	0.42
seq2431	0.32	0.42
seq2432	0.31	0.41
seq2433	0.4	0.49
seq2434	0.38	0.47
seq2435	0.38	0.48
seq2436	0.45	0.56
seq2437	0.37	0.46
seq2438	0.42	0.51
seq2439	0.44	0.54
seq2440	0.34	0.45
seq2441	0.4	0.51
seq2442	0.23	0.33
seq2443	0.39	0.49
seq2444	0.46	0.55
seq2445	0.31	0.42
seq2446	0.37	0.47
seq2447	0.37	0.47
seq2448	0.37	0.48
seq2449	0.28	0.37
seq2450	0.41	0.52
seq2451	0.37	0.46
seq2452	0.44	0.54
seq2453	0.38	0.48
seq2454	0.39	0.49
seq2455	0.43	0.54
seq2456	0.38	0.47
seq2457	0.42	0.52
seq2458	0.33	0.42
seq2459	0.38	0.48
seq2460	0.32	0.42
seq2461	0.28	0.39
seq2462	0.32	0.41
seq2463	0.32	0.42
seq2464	0.33	0.43
seq2465	0.49	0.58
seq2466	0.43	0.53
seq2467	0.56	0.67
seq2468	0.44	0.54
seq2469	0.41	0.51
seq2470	0.3	0.41
seq2471	0.39	0.49
seq2472	0.28	0.39
seq2473	0.32	0.41
seq2474	0.3	0.4
seq2475	0.39	0.49
seq2476	0.38	0.48
seq2477	0.43	0.53
seq2478	0.44	0.55
seq2479	0.3	0.41
seq2480	0.35	0.44
seq2481	0.4	0.5
seq2482	0.38	0.49
seq2483	0.36	0.46
seq2484	0.34	0.44
seq2485	0.46	0.55
seq2486	0.42	0.51
seq2487	0.29	0.39
seq2488	0.53	0.63
seq2489	0.36	0.46
seq2490	0.3	0.41
seq2491	0.32	0.42
seq2492	0.33	0.43
seq2493	0.48	0.58
seq2494	0.42	0.53
seq2495	0.4	0.51
seq2496	0.39	0.5
seq2497	0.41	0.52
seq2498	0.35	0.45
seq2499	0.4	0.49
seq2500	0.39	0.49
seq2501	0.41	0.51
seq2502	0.4	0.5
seq2503	0.39	0.48
seq2504	0.39	0.48
seq2505	0.39	0.48
seq2506	0.41	0.51
seq2507	0.36	0.46
seq2508	0.36	0.47
seq2509	0.47	0.56
seq2510	0.36	0.47
seq2511	0.4	0.49
seq2512	0.39	0.49
seq2513	0.35	0.45
seq2514	0.36	0.46
seq2515	0.44	0.53
seq2516	0.48	0.58
seq2517	0.32	0.43
seq2518	0.53	0.62
seq2519	0.44	0.54
seq2520	0.32	0.41
seq2521	0.27	0.37
seq2522	0.43	0.52
seq2523	0.29	0.4
seq2524	0.39	0.49
seq2525	0.37	0.47
seq2526	0.39	0.49
seq2527	0.38	0.48
seq2528	0.34	0.44
seq2529	0.47	0.58
seq2530	0.31	0.42
seq2531	0.29	0.39
seq2532	0.38	0.49
seq2533	0.37	0.47
seq2534	0.4	0.5
seq2535	0.32	0.42
seq2536	0.32	0.42
seq2537	0.33	0.43
seq2538	0.39	0.49
seq2539	0.39	0.49
